법령용어,비고내용,등록일시
통학차량,,2022-11-07
통학비,,2022-11-07
통학지원인력,,2022-11-07
특별지원위원회,,2022-11-07
대학생,,2022-11-07
장애학생지원센터,,2022-11-07
교육지원인력,,2022-11-07
정보접근,,2022-11-07
입학전형절차,,2022-11-07
장애수험생,,2022-11-07
수어통역,,2022-11-07
심사결정,,2022-11-07
수험편의,,2022-11-07
교내외,,2022-11-07
비장애학생,,2022-11-07
주거약자,,2022-11-07
주거수준,,2022-11-07
주거지원계획,,2022-11-07
주택개조비용,,2022-11-07
주거실태조사,,2022-11-07
주거실태,,2022-11-07
최저주거기준,,2022-11-07
의무건설,,2022-11-07
사업계획승인권자,,2022-11-07
임대현황,,2022-11-07
구비사항,,2022-11-07
활동능력,,2022-11-07
개조비용,,2022-11-07
주거지원센터,,2022-11-07
개조공사,,2022-11-07
주택개조,,2022-11-07
주거문제,,2022-11-07
주거복지센터,,2022-11-07
장애인기업,,2022-11-07
장애경제인,,2022-11-07
최고의사,,2022-11-07
장애인기업활동촉진,,2022-11-07
장애인기업활동촉진위원회,,2022-11-07
장애인기업활동,,2022-11-07
장애인창업자,,2022-11-07
액비화,,2022-12-07
한국장애경제인협회,,2022-11-07
장애경제인단체,,2022-11-07
장애인기업종합지원센터,,2022-11-07
금원,,2022-11-07
재건축,,2022-11-07
초과이익,,2022-11-07
재건축초과이익,,2022-11-07
정상주택가격상승분,,2022-11-07
개시시점,,2022-11-07
종료시점,,2022-11-07
주거환경정비기금,,2022-11-07
주택가액,,2022-11-07
일반분양분,,2022-11-07
기준시점,,2022-11-07
부과개시시점,,2022-11-07
부과종료시점,,2022-11-07
역산,,2022-11-07
준공인가일,,2022-11-07
정상주택가격,,2022-11-07
상승분,,2022-11-07
실거래가격,,2022-11-07
부동산가격조사,,2022-11-07
정기예금이자율,,2022-11-07
평균주택가격상승률,,2022-11-07
부과율,,2022-11-07
시공사,,2022-11-07
고지전,,2022-11-07
서면통지일,,2022-11-07
사전징수,,2022-11-07
계좌번호,,2022-11-07
자료제출의무,,2022-11-07
납무의무자,,2022-11-07
안전관리체제,,2022-11-07
해외재난,,2022-11-07
재난관리주관기관,,2022-11-07
긴급구조,,2022-11-07
긴급구조지원기관,,2022-11-07
국가재난관리기준,,2022-11-07
안전문화활동,,2022-11-07
재난관리정보,,2022-11-07
재난안전의무보험,,2022-11-07
재난안전통신망,,2022-11-07
국가핵심기반,,2022-11-07
재난안전관리사무,,2022-11-07
안전정책조정위원회,,2022-11-07
재정운용원칙,,2022-11-07
안전관리위원회,,2022-11-07
안전정책실무조정위원회,,2022-11-07
재난방송협의회,,2022-11-07
중앙재난방송협의회,,2022-11-07
지역재난방송협의회,,2022-11-07
안전관리민관협력위원회,,2022-11-07
중앙안전관리민관협력위원회,,2022-11-07
중앙민관협력위원회,,2022-11-07
민관,,2022-11-07
지역민관협력위원회,,2022-11-07
공동위원장,,2022-11-07
재난긴급대응단,,2022-11-07
중앙재난안전대책본부,,2022-11-07
대규모재난,,2022-11-07
중앙대책본부,,2022-11-07
중앙재난안전대책본부회의,,2022-11-07
효과적,,2022-11-07
실무반,,2022-11-07
중앙재난안전대책본부상황실,,2022-11-07
중앙재난안전상황실,,2022-11-07
수습지원단,,2022-11-07
특수기동구조대,,2022-11-07
지역중앙대책본부,,2022-11-07
수습본부장,,2022-11-07
지역대책본부장,,2022-11-07
중앙사고수습본부,,2022-11-07
수습본부상황실,,2022-11-07
재난안전상황실,,2022-11-07
지역사고수습본부장,,2022-11-07
수습본부,,2022-11-07
지역재난안전대책본부,,2022-11-07
지역대책본부,,2022-11-07
지역재난안전대책본부회의,,2022-11-07
통합지원본부,,2022-11-07
통합자원봉사지원단,,2022-11-07
대책지원본부,,2022-11-07
대책지원본부장,,2022-11-07
재난정보,,2022-11-07
재난발생,,2022-11-07
업무분야,,2022-11-07
응급대처방안,,2022-11-07
수습현황,,2022-11-07
해외재난상황,,2022-11-07
해외재난국민,,2022-11-07
국가안전관리기본계획,,2022-11-07
국가재난관리체계,,2022-11-07
민방위계획,,2022-11-07
재난관리분야,,2022-11-07
세부집행계획,,2022-11-07
지방조직,,2022-11-07
시안전관리계획,,2022-11-07
도안전관리계획,,2022-11-07
군안전관리계획,,2022-11-07
구안전관리계획,,2022-11-07
재난예방조치,,2022-11-07
기능연속성계획,,2022-11-07
재난관리체계,,2022-11-07
보호계획,,2022-11-07
통합지원,,2022-11-07
재난방지시설,,2022-11-07
재난안전분야,,2022-11-07
이행계획서,,2022-11-07
안전용품,,2022-11-07
정부합동,,2022-11-07
정부합동안전점검단,,2022-11-07
안전관리전문기관,,2022-11-07
안전점검결과,,2022-11-07
주요시설물,,2022-11-07
확인평가,,2022-11-07
재난관리자원,,2022-11-07
수습활동,,2022-11-07
재난관리자원공동활용시스템,,2022-11-07
자원관리시스템,,2022-11-07
긴급통신수단,,2022-11-07
위성통신망,,2022-11-07
재난관리업무,,2022-11-07
활동계획,,2022-11-07
재난대응활동계획,,2022-11-07
재난분야,,2022-11-07
위기관리,,2022-11-07
재난유형,,2022-11-07
검사대상,,2022-12-07
합격통보,,2022-12-07
표준매뉴얼,,2022-11-07
재난유형별,,2022-11-07
매뉴얼협의회,,2022-11-07
실무매뉴얼,,2022-11-07
현장조치,,2022-11-07
행동매뉴얼,,2022-11-07
관리시스템,,2022-11-07
대응계획,,2022-11-07
훈련실태,,2022-11-07
안전기준심의회,,2022-11-07
재난관련기관,,2022-11-07
소관분야별,,2022-11-07
훈련상황,,2022-11-07
자제,,2022-11-07
수방,,2022-11-07
심각성,,2022-11-07
위험정보,,2022-11-07
지진해일,,2022-11-07
화산,,2022-11-07
기상청,,2022-11-07
전기통신시설,,2022-11-07
디지털광고물,,2022-11-07
대피장소,,2022-11-07
위험구역,,2022-11-07
지역통제단장,,2022-11-07
강제대피조치,,2022-11-07
긴급수송,,2022-11-07
응급부담,,2022-11-07
중앙긴급구조통제단,,2022-11-07
공조체제,,2022-11-07
지역긴급구조통제단,,2022-11-07
긴급구조요원,,2022-11-07
긴급구조활동,,2022-11-07
긴급구조지원요원,,2022-11-07
헬기,,2022-11-07
헬기운항통제기관,,2022-11-07
시군구긴급구조통제단장,,2022-11-07
치안활동,,2022-11-07
시긴급구조통제단장,,2022-11-07
도긴급구조통제단장,,2022-11-07
중앙통제단장,,2022-11-07
긴급구조통제단장,,2022-11-07
초동,,2022-11-07
조치상황,,2022-11-07
각급통제단장,,2022-11-07
현장지휘소,,2022-11-07
연락관,,2022-11-07
긴급대응협력관,,2022-11-07
긴급구조대응계획,,2022-11-07
특수번호,,2022-11-07
전화서비스,,2022-11-07
재난대비능력,,2022-11-07
긴급구조능력,,2022-11-07
긴급구조체제,,2022-11-07
출동태세,,2022-11-07
출동체계,,2022-11-07
평가제도,,2022-11-07
구조계획,,2022-11-07
탐색구조본부,,2022-11-07
피해상황,,2022-11-07
중앙재난피해합동조사단,,2022-11-07
재난복구계획,,2022-11-07
사회재난,,2022-11-07
응급지원,,2022-11-07
수리비용,,2022-11-07
재난복구사업,,2022-11-07
의연금,,2022-11-07
피해기업,,2022-11-07
원인제공자,,2022-11-07
복구비등,,2022-11-07
생계수단,,2022-11-07
안전체험시설,,2022-11-07
안전관리헌장,,2022-11-07
안전관리조치,,2022-11-07
안전사업지구,,2022-11-07
특별교부세,,2022-11-07
재난관리기금,,2022-11-07
최저적립액,,2022-11-07
수입결산액,,2022-11-07
평균연액,,2022-11-07
재난원인조사,,2022-11-07
재난원인조사단,,2022-11-07
재해연보,,2022-11-07
재난연감,,2022-11-07
재난백서,,2022-11-07
안전관리기술개발,,2022-11-07
징수대상,,2022-11-07
재난안전제품,,2022-11-07
재난관리정보통신체계,,2022-11-07
공동이용절차,,2022-11-07
재난피해자등,,2022-11-07
안전관리자문단,,2022-11-07
안전책임관,,2022-11-07
재난안전,,2022-11-07
공제회비,,2022-11-07
개정권고,,2022-11-07
재난취약시설,,2022-11-07
보상한도액,,2022-11-07
가입관리,,2022-11-07
연구개발사업성과,,2022-11-07
재난안전통신,,2022-11-07
재난안전통신설비,,2022-11-07
재난안전관련기관,,2022-11-07
통화권,,2022-11-07
관련기관,,2022-11-07
재난대응절차,,2022-11-07
재난안전관리,,2022-11-07
무선통신기술,,2022-11-07
정보통신설비,,2022-11-07
지하철도,,2022-11-07
전기설비,,2022-11-07
전기통신회신설비,,2022-11-07
케이블,,2022-11-07
국사,,2022-11-07
수저,,2022-11-07
상태변경,,2022-11-07
복구과정,,2022-11-07
재난안전대응,,2022-11-07
공공통신망,,2022-11-07
운용성,,2022-11-07
정보유출,,2022-11-07
재난적의료비,,2022-11-07
의료상황,,2022-11-07
관리운영기관,,2022-11-07
처리시설설치자,,2022-12-07
국민건강보험종합계획,,2022-11-07
재난적의료비지원정책심의위원회,,2022-11-07
보건의료원,,2022-11-07
상한선,,2022-11-07
지정계좌,,2022-11-07
영주권,,2022-11-07
창설허가신청서,,2022-11-07
정리신청,,2022-11-07
정정허가신청서,,2022-11-07
정리신청서,,2022-11-07
조사확인서,,2022-11-07
정정허가,,2022-11-07
재외교육단체,,2022-11-07
한글학교,,2022-11-07
한국교육원,,2022-11-07
재외국민단체,,2022-11-07
비정규학교,,2022-11-07
소재예정국,,2022-11-07
한국학교설립계획서,,2022-11-07
한국학교명칭,,2022-11-07
설립필요성,,2022-11-07
타당성심사,,2022-11-07
운영승인,,2022-11-07
운영계획서,,2022-11-07
재원조달계획서,,2022-11-07
소재국,,2022-11-07
교과내용,,2022-11-07
동등학력,,2022-11-07
헌장,,2022-11-07
제개정,,2022-11-07
방과후교육활동,,2022-11-07
방학기간교육활동,,2022-11-07
수련활동,,2022-11-07
교원대표,,2022-11-07
학교발전기금,,2022-11-07
공관장,,2022-11-07
임원선임제한,,2022-11-07
임원승인취소,,2022-11-07
교육과정운영,,2022-11-07
시정요구기간,,2022-11-07
임원임면,,2022-11-07
재산매도,,2022-11-07
회계관리기준,,2022-11-07
교과목,,2022-11-07
계약제교원,,2022-11-07
기간제교원직원,,2022-11-07
교육원,,2022-11-07
한국어보급,,2022-11-07
교육활동지원,,2022-11-07
유학생상담,,2022-11-07
유치활동지원,,2022-11-07
해외교육정보,,2022-11-07
자금반환명령,,2022-11-07
외국교육단체,,2022-11-07
외국학교,,2022-11-07
교육용자료,,2022-11-07
무상공급,,2022-11-07
국내교육,,2022-11-07
교육지원대상범위,,2022-11-07
한민족,,2022-11-07
소재국법령,,2022-11-07
재일교포,,2022-11-07
특수임무,,2022-11-07
특수임무수행자,,2022-11-07
특수임무수행자보상심의위원회,,2022-11-07
상속규정,,2022-11-07
조세특례제한법,,2022-11-07
소의제기,,2022-11-07
재한외국인,,2022-11-07
외국인정책위원회,,2022-11-07
공공기관장,,2022-11-07
외국인정책실무위원회,,2022-11-07
국어교육,,2022-11-07
영주권자,,2022-11-07
특별기여자,,2022-11-07
전문외국인력,,2022-11-07
외국인력,,2022-11-07
세계인주간,,2022-11-07
민원처리절차,,2022-11-07
외국인종합안내센터,,2022-11-07
재해경감활동,,2022-11-07
재해경감활동계획,,2022-11-07
재난관리표준,,2022-11-07
인증대행기관,,2022-11-07
기업재난관리사,,2022-11-07
대행비용,,2022-11-07
설비자금,,2022-11-07
입주지원,,2022-11-07
기업재해경감협회,,2022-11-07
의연금품,,2022-11-07
일시대피자,,2022-11-07
구호기관,,2022-11-07
구호지원기관,,2022-11-07
재해구호계획,,2022-11-07
심리회복,,2022-11-07
임시주거시설,,2022-11-07
이재민등,,2022-11-07
재해구호물자등,,2022-11-07
재해구호,,2022-11-07
지역구호센터,,2022-11-07
구호활동,,2022-11-07
구호센터,,2022-11-07
재난심리회복지원단,,2022-11-07
중앙심리지원단,,2022-11-07
우선사용,,2022-11-07
재해구호기금,,2022-11-07
누적집행잔액,,2022-11-07
재해구호기술,,2022-11-07
전문인력양성기관,,2022-11-07
훈련참여기관,,2022-11-07
모집허가,,2022-11-07
모집계획서,,2022-11-07
배분위원회,,2022-11-07
전국재해구호협회,,2022-11-07
재해위험지구,,2022-11-07
재해방지대책,,2022-11-07
재해위험,,2022-11-07
개선사업지구,,2022-11-07
이주대책계획,,2022-11-07
재해위험개선사업심의위원회,,2022-11-07
중앙재해위험개선사업심의위원회,,2022-11-07
이용촉진계획,,2022-12-07
경작농가,,2022-12-07
지방재해위험개선사업심의위원회,,2022-11-07
지방심의위원회,,2022-11-07
수해복구,,2022-11-07
개선사업계획서,,2022-11-07
재해저감계획,,2022-11-07
사업시행방법,,2022-11-07
재해저감,,2022-11-07
기준지침,,2022-11-07
이주대상,,2022-11-07
상세계획,,2022-11-07
준공검사필증,,2022-11-07
개최대상,,2022-11-07
관할토지수용위원회,,2022-11-07
설치사업,,2022-11-07
토지보상,,2022-11-07
마을기반,,2022-11-07
집단이주단지,,2022-11-07
수해복구비,,2022-11-07
사전점검,,2022-11-07
저수지관리자,,2022-11-07
댐관리자,,2022-11-07
중앙저수지,,2022-11-07
댐안전관리위원회,,2022-11-07
자연재해업무,,2022-11-07
국장급,,2022-11-07
시위원회,,2022-11-07
도위원회,,2022-11-07
시도위원회,,2022-11-07
합동안전점검,,2022-11-07
대상시설물,,2022-11-07
재해위험저수지,,2022-11-07
재해위험댐,,2022-11-07
위험저수지,,2022-11-07
위험댐,,2022-11-07
계측시설,,2022-11-07
재해대책업무,,2022-11-07
위탁시행자,,2022-11-07
부대사업계획,,2022-11-07
위탁관리자,,2022-11-07
투자비환수,,2022-11-07
효용성,,2022-11-07
공원시설사업,,2022-11-07
주택단지조성사업,,2022-11-07
정비촉진,,2022-11-07
정비사업시행자,,2022-11-07
착공계,,2022-11-07
사업추진상황,,2022-11-07
준공계,,2022-11-07
사업완료공고,,2022-11-07
토지형질,,2022-11-07
안전사고조사,,2022-11-07
일원화,,2022-11-07
협동안전점검,,2022-11-07
하기,,2022-11-07
실연자,,2022-11-07
음반제작자,,2022-11-07
공중송신,,2022-11-07
디지털음성송신,,2022-11-07
디지털음성송신사업자,,2022-11-07
영상저작물,,2022-11-07
영상제작자,,2022-11-07
응용미술저작물,,2022-11-07
컴퓨터프로그램저작물,,2022-11-07
편집저작물,,2022-11-07
데이터베이스제작자,,2022-11-07
공동저작물,,2022-11-07
저작권대리중개업,,2022-11-07
권리관리정보,,2022-11-07
프로그램코드역분석,,2022-11-07
라벨,,2022-11-07
2차적저작물,,2022-11-07
원저작물,,2022-11-07
편곡,,2022-11-07
각색,,2022-11-07
창작물,,2022-11-07
이명,,2022-11-07
공표자,,2022-11-07
법인등,,2022-11-07
저작인격권,,2022-11-07
공표권,,2022-11-07
배타적발행권,,2022-11-07
미술저작물,,2022-11-07
건축저작물,,2022-11-07
사진저작물,,2022-11-07
전시방식,,2022-11-07
원저작자,,2022-11-07
성명표시권,,2022-11-07
동일성유지권,,2022-11-07
일신전속성,,2022-11-07
복제권,,2022-11-07
공연권,,2022-11-07
공중송신권,,2022-11-07
전시권,,2022-11-07
배포권,,2022-11-07
대여권,,2022-11-07
상업용,,2022-11-07
2차적저작물작성권,,2022-11-07
공공저작물,,2022-11-07
자유이용,,2022-11-07
한국저작권위원회,,2022-11-07
수업지원기관,,2022-11-07
보상권리자,,2022-11-07
미분배,,2022-11-07
복제방지조치,,2022-11-07
시사보도,,2022-11-07
시사적,,2022-11-07
논설,,2022-11-07
비평,,2022-11-07
사적이용,,2022-11-07
복제기기,,2022-11-07
시험문제,,2022-11-07
어문저작물,,2022-11-07
기록방식,,2022-11-07
청각장애인,,2022-11-07
녹화물,,2022-11-07
책자,,2022-11-07
초상화,,2022-11-07
이용과정,,2022-11-07
무명,,2022-11-07
계속적간행물,,2022-11-07
공표시기,,2022-11-07
책,,2022-11-07
회,,2022-11-07
최종부분,,2022-11-07
순차적,,2022-11-07
유통협의체,,2022-12-07
방류수수질,,2022-12-07
승인연월일,,2022-11-07
법정허락,,2022-11-07
창작연월일,,2022-11-07
공표연월일,,2022-11-07
등록공보,,2022-11-07
경정사실,,2022-11-07
배타적발행권자,,2022-11-07
수정증감,,2022-11-07
전집,,2022-11-07
복제권자,,2022-11-07
출판권자,,2022-11-07
원작,,2022-11-07
실연,,2022-11-07
방송권,,2022-11-07
전송권,,2022-11-07
공동실연자,,2022-11-07
지휘자,,2022-11-07
연출자,,2022-11-07
독창,,2022-11-07
독주,,2022-11-07
독창자,,2022-11-07
독주자,,2022-11-07
동시중계방송,,2022-11-07
거래제공,,2022-11-07
영상화,,2022-11-07
공개상영,,2022-11-07
원시코드,,2022-11-07
재개요구사실,,2022-11-07
재개예정일,,2022-11-07
전송자,,2022-11-07
서비스제공자,,2022-11-07
무력화,,2022-11-07
방송전,,2022-11-07
저작권위탁관리업,,2022-11-07
저작권신탁관리단체,,2022-11-07
저작권신탁관리업무규정,,2022-11-07
저작권신탁관리허가신청서,,2022-11-07
저작권위탁관리업자,,2022-11-07
저작권신탁관리업자,,2022-11-07
보상금수령단체,,2022-11-07
알선신청서,,2022-11-07
알선위원,,2022-11-07
알선서,,2022-11-07
불복사유,,2022-11-07
감정절차,,2022-11-07
저작권정보센터,,2022-11-07
저작권보호심의위원회,,2022-11-07
액,,2022-11-07
인격적,,2022-11-07
삭제명령,,2022-11-07
불법복제물,,2022-11-07
적합성평가기관,,2022-11-07
적합성평가기관인정,,2022-11-07
공인기관,,2022-11-07
적합성평가사업자,,2022-11-07
오적용,,2022-11-07
인정마크,,2022-11-07
불만족,,2022-11-07
인정표시,,2022-11-07
경영체제,,2022-11-07
경영체제인정기구,,2022-11-07
인정업무,,2022-11-07
양성업무,,2022-11-07
시험장비,,2022-11-07
신산업분야,,2022-11-07
의사면허,,2022-11-07
수련병원등,,2022-11-07
의학전문대학원,,2022-11-07
보건관계기관,,2022-11-07
지도전문의,,2022-11-07
수련환경,,2022-11-07
진료실적,,2022-11-07
수련전문과목,,2022-11-07
수련시간,,2022-11-07
수련규칙,,2022-11-07
수련계약,,2022-11-07
전공의종합계획,,2022-11-07
수련환경평가위원회,,2022-11-07
교육목적,,2022-11-07
연속수련,,2022-11-07
휴식시간,,2022-11-07
여성전공의,,2022-11-07
출산전후휴가,,2022-11-07
유산휴가,,2022-11-07
사산휴가,,2022-11-07
추가수련,,2022-11-07
주간평균,,2022-11-07
당직일수,,2022-11-07
당직수당,,2022-11-07
보건대책,,2022-11-07
피해전공의,,2022-11-07
기초교육,,2022-11-07
폭행등,,2022-11-07
자질부족,,2022-11-07
이동수련,,2022-11-07
지위유지,,2022-11-07
이동수련조치,,2022-11-07
수련환경평가,,2022-11-07
수련교과과정,,2022-11-07
수련교과과목,,2022-11-07
파견수련,,2022-11-07
의료관련법인,,2022-11-07
수련계약서,,2022-11-07
환자보호,,2022-11-07
전기공사공제조합,,2022-11-07
사업금지,,2022-11-07
총출자좌,,2022-11-07
총출자금,,2022-11-07
출자지분액,,2022-11-07
정산금,,2022-11-07
보유출자좌수,,2022-11-07
총출자좌수,,2022-11-07
특별사업계정,,2022-11-07
총출자액,,2022-11-07
개별보증,,2022-11-07
도급공사장,,2022-11-07
감독방법,,2022-11-07
업무위탁승인신청,,2022-11-07
전기공사업,,2022-11-07
전기공사,,2022-11-07
공사업,,2022-11-07
전기공사기술자,,2022-11-07
전기공사관리,,2022-11-07
계속공사,,2022-11-07
분리발주,,2022-11-07
도급대장,,2022-11-07
전기기자재,,2022-11-07
시공관리,,2022-11-07
규모별,,2022-11-07
자가측정,,2022-12-07
시공관리책임자,,2022-11-07
양성교육훈련,,2022-11-07
지정교육훈련기관,,2022-11-07
표준시장단가,,2022-11-07
표준품셈,,2022-11-07
공사업자단체,,2022-11-07
전기공사종합정보시스템,,2022-11-07
중소공사업자,,2022-11-07
기본제도,,2022-11-07
전기판매사업자,,2022-11-07
구역전기사업,,2022-11-07
구역전기사업자,,2022-11-07
전기신사업,,2022-11-07
전기신사업자,,2022-11-07
전기자동차충전사업,,2022-11-07
전기자동차충전사업자,,2022-11-07
소규모전력중개사업,,2022-11-07
소규모전력중개사업자,,2022-11-07
재생에너지전기공급사업,,2022-11-07
재생에너지전기공급사업자,,2022-11-07
소규모전력중개시장,,2022-11-07
전력계통,,2022-11-07
전선로,,2022-11-07
전기사업용전기설비,,2022-11-07
분산형전원,,2022-11-07
전력수급,,2022-11-07
전력산업,,2022-11-07
경쟁촉진,,2022-11-07
한국전력거래소,,2022-11-07
전기위원회,,2022-11-07
공급구역별,,2022-11-07
발전소별,,2022-11-07
전기사업별,,2022-11-07
전기설비별,,2022-11-07
시설인수,,2022-11-07
기본공급약관,,2022-11-07
전기수요,,2022-11-07
선택공급약관,,2022-11-07
공급약관,,2022-11-07
보완공급약관,,2022-11-07
발급대상,,2022-11-07
전기요금청구서,,2022-11-07
항목별,,2022-11-07
전기품질,,2022-11-07
전력량계,,2022-11-07
시간대별,,2022-11-07
전력거래량,,2022-11-07
전력수급기본계획,,2022-11-07
전기공급계획,,2022-11-07
송전,,2022-11-07
배전,,2022-11-07
원자력발전연료,,2022-11-07
전력시장운영규칙,,2022-11-07
지능형전력망,,2022-11-07
소규모전력자원,,2022-11-07
수요관리사업자,,2022-11-07
중개시장운영규칙,,2022-11-07
정상적,,2022-11-07
전력산업기반조성계획,,2022-11-07
전력정책심의회,,2022-11-07
전력산업기반조성,,2022-11-07
재정사항,,2022-11-07
임시사용방법,,2022-11-07
전자파,,2022-11-07
인체보호기준,,2022-11-07
물밑선로,,2022-11-07
물밑,,2022-11-07
물밑선로보호구역,,2022-11-07
전기통신선로설비,,2022-11-07
지상물,,2022-11-07
지중이설,,2022-11-07
출입방법,,2022-11-07
출입기간,,2022-11-07
송전선로,,2022-11-07
집단에너지사업자,,2022-11-07
발전설비용량,,2022-11-07
공급구역,,2022-11-07
회계서류작성,,2022-11-07
충전요금,,2022-11-07
전기재해,,2022-11-07
전기안전관리,,2022-11-07
원격점검,,2022-11-07
전기안전자문기구,,2022-11-07
저압,,2022-11-07
비상용,,2022-11-07
예비발전기,,2022-11-07
원격점검기능,,2022-11-07
원격점검장치,,2022-11-07
관제센터,,2022-11-07
특별안전점검,,2022-11-07
전기안전종합정보시스템,,2022-11-07
전기안전관리업무,,2022-11-07
세부기술자격,,2022-11-07
최소점검횟수,,2022-11-07
전력기술인단체,,2022-11-07
전기안전교육,,2022-11-07
안전관리교육,,2022-11-07
안전시공교육,,2022-11-07
이론교육,,2022-11-07
한국전기안전공사,,2022-11-07
전기안전,,2022-11-07
수탁사무,,2022-11-07
전기용품,,2022-11-07
제품안전관리,,2022-11-07
제품시험,,2022-11-07
안전인증대상제품,,2022-11-07
안전확인대상제품,,2022-11-07
공급자적합성확인대상제품,,2022-11-07
안전기준준수대상생활용품,,2022-11-07
어린이보호포장,,2022-11-07
어린이보호포장대상생활용품,,2022-11-07
병행수입,,2022-11-07
안전관리대상제품,,2022-11-07
안전인증대상,,2022-11-07
안전인증대상전기용품,,2022-11-07
안전확인시험기관,,2022-11-07
안전확인시험,,2022-11-07
시험설비,,2022-11-07
안전확인신고,,2022-11-07
안전확인대상,,2022-11-07
안전확인대상전기용품,,2022-11-07
공급자적합성확인대상전기용품,,2022-11-07
재활용신고,,2022-12-07
어린이보호포장표시,,2022-11-07
구매대행대상제품,,2022-11-07
병행수입업자,,2022-11-07
병행수입표시,,2022-11-07
제조설비,,2022-11-07
유해성평가,,2022-11-07
재료물질,,2022-11-07
피해금,,2022-11-07
사기이용계좌,,2022-11-07
채권소멸절차,,2022-11-07
피해금환급절차,,2022-11-07
피해환급금,,2022-11-07
발생건수,,2022-11-07
전산인력,,2022-11-07
전산시설,,2022-11-07
부금,,2022-11-07
금융삼품,,2022-11-07
이용자계좌,,2022-11-07
의심거래계좌,,2022-11-07
피해의심거래계좌,,2022-11-07
부당이득반환청구소송,,2022-11-07
체납절차,,2022-11-07
채무부존재확인,,2022-11-07
부당이득반환,,2022-11-07
청구소송,,2022-11-07
전자금융거래,,2022-11-07
소멸채권,,2022-11-07
피해금액,,2022-11-07
총피해금액,,2022-11-07
없는자,,2022-11-07
전자금융거래제한대상자,,2022-11-07
접근매체,,2022-11-07
계좌자료,,2022-11-07
전력기술,,2022-11-07
전력기술인,,2022-11-07
전력기술진흥기본계획,,2022-11-07
전력시설물,,2022-11-07
전력기술기준,,2022-11-07
신공법,,2022-11-07
특수공법,,2022-11-07
설계감리,,2022-11-07
사업수행능력평가기준,,2022-11-07
완료보고서,,2022-11-07
완료증명서,,2022-11-07
공사감리업,,2022-11-07
용역대가,,2022-11-07
법인합병,,2022-11-07
전사순직진급예정자,,2022-11-07
진급신청,,2022-11-07
전시산업,,2022-11-07
전시회부대행사,,2022-11-07
전시사업자,,2022-11-07
전시시설사업자,,2022-11-07
전시주최사업자,,2022-11-07
전시디자인설치사업자,,2022-11-07
전시서비스사업자,,2022-11-07
사이버전시회,,2022-11-07
전시산업발전협의회,,2022-11-07
자문단,,2022-11-07
시장현황조사,,2022-11-07
전시산업발전계획,,2022-11-07
건립계획,,2022-11-07
전시산업정보,,2022-11-07
대형화,,2022-11-07
전문화,,2022-11-07
참가업체,,2022-11-07
참관객,,2022-11-07
유치촉진,,2022-11-07
지역전략산업,,2022-11-07
유망전시회,,2022-11-07
지원전략,,2022-11-07
해외전시회,,2022-11-07
전원개발사업,,2022-11-07
전원개발사업추진위원회,,2022-11-07
국민주택자금,,2022-11-07
정착지,,2022-11-07
전원개발사업자,,2022-11-07
전자지급거래,,2022-11-07
전자금융보조업자,,2022-11-07
결제중계시스템,,2022-11-07
전자적장치,,2022-11-07
전자지급수단,,2022-11-07
전자자금이체,,2022-11-07
전자채권,,2022-11-07
거래지시,,2022-11-07
전자지급결제대행,,2022-11-07
전자금융기반시설,,2022-11-07
전자적침해행위,,2022-11-07
불법광고,,2022-11-07
전자지급거래계약,,2022-11-07
추심이체,,2022-11-07
전자채권양도,,2022-11-07
정보보호최고책임자,,2022-11-07
취약점,,2022-11-07
전자금융거래기록,,2022-11-07
변경통지,,2022-11-07
전자금융거래정보,,2022-11-07
전자금융업,,2022-11-07
전자채권관리기관,,2022-11-07
전자화폐가맹점,,2022-11-07
가맹점계약,,2022-11-07
외부주문,,2022-11-07
전자무역,,2022-11-07
무역절차,,2022-11-07
무역업자,,2022-11-07
무역관계기관,,2022-11-07
전자무역문서,,2022-11-07
전자무역기반시설,,2022-11-07
전자무역기반사업자,,2022-11-07
전자무역기반업무,,2022-11-07
컴퓨터파일,,2022-11-07
전자거래사업자,,2022-11-07
전자거래이용자,,2022-11-07
공인전자주소,,2022-11-07
공인전자문서중계자,,2022-11-07
서면요건,,2022-11-07
상거소,,2022-11-07
암호제품,,2022-11-07
원문,,2022-11-07
암호기술,,2022-11-07
기본권익,,2022-11-07
국제표준방식,,2022-11-07
유통증명서,,2022-11-07
자동프로그램,,2022-11-07
전자문서ㆍ전자거래촉진계획,,2022-11-07
가축분뇨관련영업,,2022-12-07
병기,함께 나란히 적음.,2022-12-16
양자,일정한 관계에 있는 두 사람이나 두 개의 사물.,2022-12-21
제지,종이를 만듦.,2022-12-21
급여액,연금적 성격의 급여 ex. 공무원연금,2023-02-02
급여지급,연금적 성격의 급여 ex. 공무원연금,2023-02-02
급여제도,연금적 성격의 급여 ex. 공무원연금,2023-02-02
급여청구,연금적 성격의 급여 ex. 공무원연금,2023-02-02
기금,,2023-02-02
고용보험운영전문위원회,,2023-02-06
장해급여청구서,,2023-02-06
통합고용세액공제,,2023-02-09
단일토지,,2023-03-31
승용,,2023-02-10
산책로,,2023-03-31
수입금액계산,,2023-02-10
독거수용자,,2023-02-10
처리주무부서,,2023-02-10
민원처리부,,2023-02-10
설계계약,,2023-02-10
진보성,,2023-02-10
적용성,,2023-02-10
수입지출계획서,,2023-03-31
자리,,2023-02-10
송신설비,,2023-02-10
휴대용,,2023-02-10
중파,,2023-02-10
